time,P,G(i),H_sun,T2m,WS10m,Int
20190117:0710,15.6,30.07,5.44,-0.51,0.48,0.0
20190117:0810,64.37,88.39,13.97,0.57,0.55,0.0
20190117:0910,120.75,155.23,20.82,3.2,0.9,0.0
20190117:1010,86.44,114.91,25.4,4.65,1.45,0.0
20190117:1110,118.84,151.87,27.2,5.4,1.72,0.0
20190117:1210,60.35,85.47,25.97,6.03,2.07,0.0
20190117:1310,65.35,91.17,21.88,5.77,2.0,0.0
20190117:1410,95.07,124.78,15.43,5.47,1.93,0.0
20190117:1510,35.73,56.06,7.18,4.96,1.52,0.0
20190117:1610,0.0,0.0,0.0,3.74,1.24,0.0
20190117:1710,0.0,0.0,0.0,2.37,1.24,0.0
20190117:1810,0.0,0.0,0.0,1.79,1.24,0.0
20190117:1910,0.0,0.0,0.0,1.59,1.24,0.0
20190117:2010,0.0,0.0,0.0,1.51,1.38,0.0
20190117:2110,0.0,0.0,0.0,1.7,1.31,0.0
20190117:2210,0.0,0.0,0.0,1.84,1.38,0.0
20190117:2310,0.0,0.0,0.0,1.89,1.38,0.0
20190118:0010,0.0,0.0,0.0,1.86,1.31,0.0
20190118:0110,0.0,0.0,0.0,2.03,1.24,0.0
20190118:0210,0.0,0.0,0.0,1.98,1.17,0.0
20190118:0310,0.0,0.0,0.0,2.04,1.03,0.0
20190118:0410,0.0,0.0,0.0,2.08,1.31,0.0
20190118:0510,0.0,0.0,0.0,2.34,1.03,0.0
20190118:0610,0.0,0.0,0.0,2.3,0.9,0.0
20190118:0710,17.42,32.8,5.54,2.61,1.03,0.0
20190118:0810,74.85,101.15,14.09,3.15,1.31,0.0
20190118:0910,79.77,107.32,20.97,4.52,1.24,0.0
20190118:1010,50.64,74.08,25.58,5.72,1.38,0.0
20190118:1110,127.74,163.18,27.4,7.1,1.52,0.0
20190118:1210,30.77,50.33,26.18,6.49,1.45,0.0
20190118:1310,29.26,48.43,22.1,6.4,1.45,0.0
20190118:1410,28.53,47.49,15.64,6.11,1.17,0.0
20190118:1510,81.97,110.21,7.38,5.57,0.9,0.0
20190118:1610,0.0,0.0,0.0,4.23,0.76,0.0
20190118:1710,0.0,0.0,0.0,3.99,0.69,0.0
20190118:1810,0.0,0.0,0.0,3.28,0.55,0.0
20190118:1910,0.0,0.0,0.0,2.49,0.55,0.0
20190118:2010,0.0,0.0,0.0,2.06,0.41,0.0
20190118:2110,0.0,0.0,0.0,1.7,0.41,0.0
20190118:2210,0.0,0.0,0.0,1.24,0.62,0.0
20190118:2310,0.0,0.0,0.0,0.51,0.62,0.0
20190119:0010,0.0,0.0,0.0,0.28,0.62,0.0
20190119:0110,0.0,0.0,0.0,0.03,0.55,0.0
20190119:0210,0.0,0.0,0.0,0.05,0.55,0.0
20190119:0310,0.0,0.0,0.0,-0.14,0.55,0.0
20190119:0410,0.0,0.0,0.0,-0.28,0.55,0.0
20190119:0510,0.0,0.0,0.0,0.22,0.55,0.0
20190119:0610,0.0,0.0,0.0,0.71,0.48,0.0
